text,label
肚子已经饿得不行了,1
比赛输了，太不甘心了,1
一想到面试，就紧张得不得了,1
这道菜，怎么做的呢，太想知道了,1
如果能回去的话，我想再回到那个时候一次,0
如果能去的话我倒是想去，但报告截止日期就要到了好像不行,0
如果愿望能实现的话，我想要那个美术馆里的全部画,0
如果可以和艺人交往一次的话，我想交往看看,0
能做呢就做做看,0
与预想的相反，今年的考试据说没那么难,0
与父母的期待相反，她没有升学,0
与周围的反对意见相反，公寓还是继续建设了,0
与专家们的预想相反，经济开始回升了,0
他违反校规，偷偷抽烟,0
作为学生来说，假期越长越好吧,0
对中国人来说即便是很简单的汉字，外国人看来或许也是很难的,0
从他看来虽然是很细碎的事情，对我就不一样了,0
一个人在国外生活，对父母来说不是很担心吗,0
我小时候体弱多病，上学经常请假,1
这段时间都是多云天气,1
外出用餐多了，就容易蔬菜吃得少,1
女性很容易被认为吃得少，但实际上很多人并不是,1
作物的收成情况，全看这个夏天的天气,1
机会还是危机，要看那个人怎么看,1
部长全凭那天的心情，意见变来变去,1
尽管是暑假，他仍然每天都在图书馆学习,0
尽管下雨，那个人还是不撑伞地在走,0
尽管警告过几次，她仍然不听,0
尽管工作非常忙，他仍然每天按时给她打电话,0
尽管他的日语很棒，和日本人说话时还是使用英语比较多,0
他仅仅是父亲很有出名，实际上他并没有实力,0
虽说是生病卧床，不过是感冒罢了,0
中国有很多观光景点。,0
万里长城不过是其中之一,0
手机不过是一个工具，如何使用非常重要,0
这道菜只是外观好看，吃起来并不好吃,0
他考试能及格无非是努力的结果,0
离婚的原因无非是性格不合,0
他拿出严肃的态度无非是担心孩子的将来,0
这个商品之所以畅销无非是功能好,0
那位歌手不仅受年轻人欢迎，在老年人中也受欢迎,1
在中国不仅能品尝到亚洲美食，世界各国的美食都可以享用,1
最近不止年轻人，无论哪个年龄段都有离不开车的趋势,1
必须清楚认识到自己已经不是孩子了,0
自己的事情还是应该自己做,0
最好的就是用最简单的办法说出自己想说的话,0
沿着道路种上了美丽的花,0
新人进修将按照指导手册进行,0
我们将依据客户的要求提出旅行方案,0
种米的农家来看，凉爽的夏天并不太好,0
从功能和品质优越来看，不如说是赚了,0
从那种口气看来，他好像已经指导那件事情了,0
汉堡以美国为代表，发展到全世界都在吃,0
明天的会预计以会长为首，各位干部都要出席,0
本店以食品为主，经营衣服、日用品等各类杂货,0
这家公司离职率很高，肯定有什么问题,0
要解决这个区域的水污染问题一定很难,0
吃了冰箱里的冰淇淋的人，肯定是我妹妹,0
如果是知名企业的社长，一定相当忙,0
将来会怎样，焦虑得不得了,0
要离开住惯了的这片土地，真是难过得不行,0
田中老是抱怨，真是气死我了,0
我一进房间，他就立刻站了起来,0
刚插上插头，电源就熄灭了,0
刚从椅子上站起来，就晕倒了,0
虽然在美国长大，英语说得并不好,0
虽然作为新员工，他却很善于电话交涉,0
李先生，虽说旅行一个星期，行李还真少,0
昨天教的句型，谁都用不好，所以看来是教学方法不好,0
咦！,0
有蔬菜在门口。,0
似乎是附近的人放的,0
看来最近好像很忙，都没有机会和我见面,0
邻居家好像不在家，晚上灯也不亮,0
他很勤奋地研究，似乎很喜欢工作,0
一说完马上就和您联系,1
保险证一旦确认本人身份，次日就交付,1
天气一好转，就开始比赛,1
打算按照大家的需求生产商品,1
日语根据说话对象的不同，要改变说话的方式,1
必须根据收入缴纳税金,1
不管联系几次都没有回复，真不知道有多担心,1
要是能在像这个公司这样的办公室工作该有多开心,1
语言也不通，也不能一个人去买东西，第一次在国外居住是有多么地不方便,1
小朋友给母亲努力写的卡片，是多么棒的礼物呀！,1
开始了志愿者活动，新的朋友就多了起来,0
调查了这个问题后，发现了意外的事实,0
决定要早睡，却发现早上的闹钟经常响起,0
随着电脑的普及，工作变得容易做了,0
随着考试的日子临近，越来越紧张,0
这部漫画，随着故事的进展越来越有趣,0
关于事故的原因，现在正在进行调查,0
进行了有关衣食住的意愿调查,0
我想研究关于日本少子化的问题,0
在旅游地想好好地感受一下当地特有的氛围,1
虽然有很多人喜欢都市，但在乡村也有乡村独有的好处,1
这么独特的创意，只有田中想得到,1
不应该剥夺孩子的自由,1
教师应该平等地对待学生,1
为人应该要正直,1
我不认同女性就必须化妆保持美貌,1
我买了一本《三十岁的人应该做的事》的书,1
不应该干涉别人的私生活,1
还有1分就能分出胜负的时候，突然下起雨来中断了比赛,0
孩子们正在玩耍，妈妈笑眯眯地看着他们,0
他正全速飞驰的时候被警察截住了,0
休息日叫您出来，非常抱歉,0
酷暑之中，感谢来到我们店,0
非常感谢你们在百忙之中前来相聚,0
不管是读日语汉字还是写，都不行,0
忙也好闲也好，盂兰盆节都要回老家,0
明天不论是下雨还是下雪，我都要上班,0
有钱人也好，穷人也罢，教育的机会应该是平等的,0
不管多难，只要是为了孩子，我都能努力加油,0
就算是客套话，被夸奖也是高兴的,0
借了东西要还是天经地义的,0
孩子就是不能长时间安静地呆着,0
他忍受不了工作忙碌没半年就辞了公司的工作,1
关于这个计划，我很难赞同科长的意见,1
我的志愿和父母希望我上的大学不同，要考哪个学校我很难决定,1
正因为不会说英语，和外国人交流才比较困难,1
小时候就因为头发短，被错当成男孩，真讨厌,1
就因为是女性，就必须做家务真是太可笑,1
就因为唱歌不好，被约去场卡拉OK也不能一起开心玩耍,1
